"cleaning","crouching","jumping","laying","riding","running","scooter","sitting","sittingTogether","sittingWhileCalling","sittingWhileDrinking","sittingWhileEating","sittingWhileHoldingBabyInArms","sittingWhileTalkingTogether","sittingWhileWatchingPhone","standing","standingTogether","standingWhileCalling","standingWhileDrinking","standingWhileEating","standingWhileHoldingBabyInArms","standingWhileHoldingCart","standingWhileHoldingStroller","standingWhileLookingAtShops","standingWhileTalkingTogether","standingWhileWatchingPhone","walking","walkingTogether","walkingWhileCalling","walkingWhileDrinking","walkingWhileEating","walkingWhileHoldingBabyInArms","walkingWhileHoldingCart","walkingWhileHoldingStroller","walkingWhileLookingAtShops","walkingWhileTalkingTogether","walkingWhileWatchingPhone"
0.0,0.05556,0.0,0.0,0.0,0.0,0.0,0.33333,0.05556,0.05556,0.0,0.0,0.0,0.0,0.16667,0.27778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01031,0.02062,0.0,0.0,0.0,0.0,0.0,0.43299,0.01031,0.01031,0.0,0.0,0.0,0.0,0.17526,0.25773,0.02062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.01351,0.0,0.0,0.0,0.0,0.0,0.56757,0.08108,0.0,0.0,0.0,0.0,0.0,0.18919,0.05405,0.01351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.00847,0.0,0.0,0.0,0.0,0.0,0.35593,0.29661,0.00847,0.0,0.01695,0.0,0.00847,0.12712,0.11017,0.00847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.01586,0.0,0.0,0.0,0.0,0.0,0.28199,0.01019,0.00566,0.0,0.01246,0.0,0.00227,0.47792,0.12571,0.00453,0.0,0.0,0.0,0.0,0.0,0.0,0.00113,0.0,0.0068,0.05096,0.00113,0.0,0.0,0.0,0.0,0.00113,0.0,0.0,0.0,0.00227
0.00046,0.00202,0.0,0.0,0.0,0.0,0.0,0.01286,0.00037,0.0,0.0,0.0,0.0,0.0,0.00138,0.45108,0.01497,0.0023,0.0,0.00046,0.00037,0.0,0.00028,0.08884,0.02159,0.0158,0.37722,0.00423,0.00083,0.0,0.00037,0.00129,0.00138,0.00018,0.0,0.0,0.00175
0.00035,0.00281,0.0,0.0,0.0,0.0,0.0,0.01124,0.0,0.0,0.0,0.0,0.0,0.0,0.00035,0.35428,0.05091,0.00211,0.0,0.00105,0.00211,0.0,0.00105,0.14396,0.07233,0.01615,0.32374,0.00983,0.00035,0.0,0.00105,0.00176,0.00281,0.00035,0.0,0.0,0.0014
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17197,0.00637,0.30573,0.0,0.01274,0.00849,0.0,0.0,0.12951,0.04883,0.05945,0.10403,0.00212,0.13588,0.0,0.00425,0.0,0.0,0.0,0.0,0.0,0.01062
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17895,0.05263,0.07368,0.0,0.03158,0.0,0.0,0.01053,0.09474,0.11579,0.12632,0.2,0.01053,0.02105,0.0,0.03158,0.01053,0.0,0.0,0.0,0.0,0.03158
0.0,0.00515,0.0,0.0,0.0,0.0,0.0,0.00515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23196,0.09278,0.04639,0.0,0.05155,0.00515,0.0,0.0,0.13918,0.13402,0.12371,0.13402,0.00515,0.01031,0.0,0.01546,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.00202,0.0,0.0,0.0,0.0,0.0,0.00202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32591,0.03644,0.00607,0.0,0.0,0.04251,0.0,0.0,0.12955,0.08704,0.02834,0.27733,0.00607,0.00405,0.0,0.0,0.04858,0.0,0.0,0.0,0.0,0.00405
0.01005,0.0,0.0,0.0,0.0,0.0,0.0,0.00503,0.00503,0.0,0.0,0.0,0.0,0.0,0.0,0.42211,0.03015,0.0,0.0,0.0,0.0,0.0,0.01005,0.1407,0.0402,0.04523,0.25628,0.00503,0.0,0.0,0.0,0.00503,0.0201,0.00503,0.0,0.0,0.0
0.0066,0.0066,0.0,0.0,0.0,0.0,0.0,0.0165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32013,0.05611,0.0066,0.0,0.0,0.0,0.0,0.0066,0.28713,0.0495,0.0231,0.18152,0.0099,0.0033,0.0,0.0,0.0033,0.0132,0.0099,0.0,0.0,0.0
0.0,0.00052,0.0,0.0,0.0,0.0,0.0,0.00751,0.0,0.00026,0.0,0.0,0.0,0.0,0.00104,0.37218,0.01968,0.00233,0.0,0.00026,0.00207,0.0,0.00026,0.20798,0.03781,0.02253,0.31805,0.00207,0.0013,0.0,0.00026,0.00052,0.0013,0.00026,0.0,0.0,0.00181
0.0,0.00099,0.0,0.0,0.0,0.0,0.0,0.00099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23115,0.05159,0.00595,0.0,0.00198,0.00397,0.0,0.00099,0.21528,0.22123,0.02579,0.21925,0.0119,0.00099,0.0,0.00198,0.00298,0.00099,0.0,0.0,0.0,0.00198
0.0,0.00058,0.0,0.0,0.0,0.0,0.0,0.00348,0.0,0.0,0.0,0.0,0.0,0.0,0.00174,0.30023,0.01161,0.00871,0.0,0.00232,0.0029,0.0,0.0,0.09814,0.03659,0.3374,0.15041,0.0029,0.0029,0.0,0.0029,0.00116,0.00058,0.00058,0.0,0.0,0.03484
4e-05,0.00019,0.0,0.0,0.0,0.00148,0.0,0.00265,4e-05,0.0,0.0,0.0,0.0,0.0,8e-05,0.0607,0.00386,0.00023,0.0,4e-05,0.00015,0.0,0.0,0.00795,0.00447,0.00102,0.84587,0.04117,0.00534,0.00042,0.00231,0.00307,0.0039,0.00072,0.0,0.0,0.01434
0.0,0.00022,0.0,0.0,0.0,0.00275,0.0,0.00418,0.00011,0.0,0.0,0.0,0.0,0.0,0.0,0.05578,0.01001,0.00022,0.0,0.00022,0.00011,0.0,0.0,0.01221,0.00814,0.0011,0.73803,0.13401,0.00594,0.00033,0.00539,0.00352,0.00308,0.00165,0.0,0.0,0.01298
0.0,0.0,0.0,0.0,0.0,0.0004,0.0,0.00081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02338,0.00403,0.01169,0.0,0.0004,0.0,0.0,0.0,0.00806,0.00564,0.00322,0.27086,0.03305,0.59774,0.00121,0.00887,0.00524,0.00202,0.00282,0.0,0.0,0.02056
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02549,0.006,0.0015,0.0,0.0015,0.0,0.0,0.0,0.006,0.009,0.003,0.38831,0.10945,0.09895,0.02549,0.17391,0.0045,0.0045,0.0015,0.0,0.0,0.14093
